area,Year,Rooms,Location,Price,Floor
130,1386,2, Qeytarieh,1780000000.0,5.0
185,1385,3, Vanak,20350000000.0,5.0
335,1395,4, Elahieh,84000000000.0,24.0
109,1379,2, Zafar,1220000000.0,2.0
40,1388,1, Masoudieh,25000000.0,0.0
65,1402,2, Abshar,25000000.0,10.0
85,1380,2, Eqdasiyeh,82000000.0,0.0
115,1395,2, Zaferanieh,3000000000000.0,4.0
185,1401,3, Zaferanieh,45000000000.0,5.0
95,1398,2, Narmak,110000000.0,1.0
53,1396,2, Andisheh (Shahr-e Ziba),190000000.0,1.0
116,1392,2, Saadat Abad,1400000000.0,2.0
56,1391,1, Imamzadeh Hasan (A),395000000.0,4.0
139,1402,3, Poonak,2300000000.0,5.0
118,1401,2, Mirdamad,1950000000.0,2.0
80,1389,2, Shahrara,87500000.0,2.0
217,1399,3, Zaferanieh,8800000000.0,4.0
80,1402,2, Jomhouri,360000000.0,4.0
318,1385,3, Elahieh,6200000000.0,6.0
124,1387,2, Iran,840000000.0,0.0
75,1395,2, Marzdaran,890000000.0,4.0
105,1399,2, Zafar,162750000.0,5.0
155,1402,3, Kuy-e Faraz,2700000000.0,1.0
95,1395,2, Niavaran,155000000.0,1.0
80,1402,2, Khwajeh Nazam Al-Molk,630000000.0,4.0
36,1397,0, Azerbaijan,250000001.0,1.0
93,1400,2, Mobarakeh-ye Beheshti,290000000.0,3.0
80,1402,2, Jomhouri,360000000.0,4.0
70,1386,2, Sattarkhan,760000000.0,6.0
115,1395,2, Marzdaran,14560000000.0,4.0
180,1399,3, Velenjak,410000000.0,5.0
